pdate,pdate 2,marka,cheader,cheader 2,comments,comments_stemmed
Mar 01,2017,Wrangler Sport 3.6L,Tipm Failure,"94,448 miles",Starter runs on after engine is running when it's cold .,"['starter', 'run', 'engin', 'run', 'cold']"
Jan 01,2015,Wrangler Sport 3.6L,Tipm Failure,"46,603 miles","No wipers, no fog lights, no radio, no abs, no traction control, no cruise control.","['wiper', 'fog', 'light', 'radio', 'ab', 'traction', 'control', 'cruis', 'control']"
Feb 01,2017,Wrangler Rubicon 3.6L V6,Tipm Failure,"83,614 miles","The washer fluid stopped spraying, and the power door locks are not working for now. Middle of winter I'd rather hook a Supersoaker up to it and lock the doors manually than pay $1100 rro a  part.","['washer', 'fluid', 'stop', 'spray', 'power', 'door', 'lock', 'work', 'middl', 'winter', 'id', 'rather', 'hook', 'supersoak', 'lock', 'door', 'manual', 'pay', '1100', 'rro', 'part']"
Jan 18,2017,Wrangler Unlimited 3.6L V6,Tipm Failure,"60,684 miles",This jeep has been great until we found out that they have TIPM problems. Almost completely wrecked out ride. Not to mention the stress of the death wobbles and never knowing what it's going to drive like today. It's costing us over $3000 to fix it! I really wish Jeep would do something for this make and model to help us out!,"['jeep', 'great', 'found', 'tipm', 'problem', 'almost', 'complet', 'wreck', 'ride', 'mention', 'stress', 'death', 'wobbl', 'never', 'know', 'go', 'drive', 'like', 'today', 'cost', 'us', '3000', 'fix', 'realli', 'wish', 'jeep', 'would', 'someth', 'make', 'model', 'help', 'us']"
Jun 10,2016,Wrangler Unlimited Rubicon,Tipm Failure,"55,000 miles",Jeep went haywire. Went into limp mode. Away bar wouldn't disconnect or reconnect if disconnected. Loss of power. Intermittent air conditioner failure. Stalling while idle. Stalling while driving. Dealing with the dealer was a complete joke. They had the jeep for 3 weeks and didn't do anything until I showed up ranting and screaming to finish. Wondering if they even replaced the tipm they charged me for.,"['jeep', 'went', 'haywir', 'went', 'limp', 'mode', 'away', 'bar', 'wouldnt', 'disconnect', 'reconnect', 'disconnect', 'loss', 'power', 'intermitt', 'air', 'condition', 'failur', 'stall', 'idl', 'stall', 'drive', 'deal', 'dealer', 'complet', 'joke', 'jeep', '3', 'week', 'didnt', 'anyth', 'show', 'rant', 'scream', 'finish', 'wonder', 'even', 'replac', 'tipm', 'charg']"
Sep 09,2016,Wrangler X 3.6L V6,Tipm Failure,"35,000 miles",The TIPM is an on going issue with Jeep and Chrysler vehicles. Most of the jeep vehicles in 2012 were recalled due to the TIPM issues but not the wrangler. I got in my jeep and everything was fine until I turned the key. ALL the lights on my dash stated flashing but would not do anything else. This happed after 4 years and 35K miles. I have open a case with Jeep customer care and now awaiting a case worker to call me. I dont expect them to do much of anything because I am out of the basic warranty. However if enough people call about this issue maybe they will finally acknowledge the issue is also with the Wrangler .,"['tipm', 'go', 'issu', 'jeep', 'chrysler', 'vehicl', 'jeep', 'vehicl', '2012', 'recal', 'due', 'tipm', 'issu', 'wrangler', 'got', 'jeep', 'everyth', 'fine', 'turn', 'key', 'light', 'dash', 'state', 'flash', 'would', 'anyth', 'els', 'hap', '4', 'year', '35k', 'mile', 'open', 'case', 'jeep', 'custom', 'care', 'await', 'case', 'worker', 'call', 'dont', 'expect', 'much', 'anyth', 'basic', 'warranti', 'howev', 'enough', 'peopl', 'call', 'issu', 'mayb', 'final', 'acknowledg', 'issu', 'also', 'wrangler']"
Feb 11,2021,Model S P85+,All Suspension Components On Verge Of Failure,"53,037 miles",All of the suspension components needed to be replaced due to failure. Tesla's service bulletin was shown and they fixed the rear free of cost. They forced me to pay out of pocket for the front and did not apply their second service bulletin towards the suspension problem. There are several law suites due to the engineering design flaws associated with this.,"['suspens', 'compon', 'need', 'replac', 'due', 'failur', 'tesla', 'servic', 'bulletin', 'shown', 'fix', 'rear', 'free', 'cost', 'forc', 'pay', 'pocket', 'front', 'appli', 'second', 'servic', 'bulletin', 'toward', 'suspens', 'problem', 'sever', 'law', 'suit', 'due', 'engin', 'design', 'flaw', 'associ']"
May 01,2019,Prius 3 4L,Windshield Cracks Easily,"28,600 miles","Crack started on passenger side of front windshield. Very strange. I came back from vacation and noticed a large crack after driving it the first day back to work. What I found odd was the crack started at the bottom of the glass, under the passenger windshield wiper. I didn't recall a rock hitting the window while driving the first day back. Really strange that a rock reached under the wiper and caused a break. Anyway, I didn't recall such thing happening. Within a couple two days, the crack spread quickly and covered 1/4 of the windshield.","['crack', 'start', 'passeng', 'side', 'front', 'windshield', 'strang', 'came', 'back', 'vacat', 'notic', 'larg', 'crack', 'drive', 'first', 'day', 'back', 'work', 'found', 'odd', 'crack', 'start', 'bottom', 'glass', 'passeng', 'windshield', 'wiper', 'didnt', 'recal', 'rock', 'hit', 'window', 'drive', 'first', 'day', 'back', 'realli', 'strang', 'rock', 'reach', 'wiper', 'caus', 'break', 'anyway', 'didnt', 'recal', 'thing', 'happen', 'within', 'coupl', 'two', 'day', 'crack', 'spread', 'quickli', 'cover', '14', 'windshield']"
May 23,2018,Prius Touring III,Windshield Cracks Easily,"42,000 miles","My front windshield cracked last May, 2018 (due to a rock chip). It wasn't resolved (camera/senors, calibration etc...) properly until Aug, 2018. This year, March 2019 the windshield is cracked again, in 2 places. The first (2018) incident I remember thinking (after noticing the crack spread) ""man the rock didn't seem to hit that hard"". The crack begin from the tinted rear mirror area, so I never noticed until it started to spread. I live in TN, urban areas and driving habits hadn't changed, so having two extreme cracks from rocks is unusual.","['front', 'windshield', 'crack', 'last', 'may', '2018', 'due', 'rock', 'chip', 'wasnt', 'resolv', 'camerasenor', 'calibr', 'etc', 'properli', 'aug', '2018', 'year', 'march', '2019', 'windshield', 'crack', '2', 'place', 'first', '2018', 'incid', 'rememb', 'think', 'notic', 'crack', 'spread', 'man', 'rock', 'didnt', 'seem', 'hit', 'hard', 'crack', 'begin', 'tint', 'rear', 'mirror', 'area', 'never', 'notic', 'start', 'spread', 'live', 'tn', 'urban', 'area', 'drive', 'habit', 'hadnt', 'chang', 'two', 'extrem', 'crack', 'rock', 'unusu']"
May 25,2017,Prius Touring IV,Windshield Cracks Easily,"9,884 miles","We bought this car on 2/14/17. It was used and had about 3400 miles on it at the time. In May, we were due for our first 5000 mile maintenance appt. We were on the road, so we stopped by Chuck Hutton Toyota in Memphis, TN, to have the work done. A chip in the windshield had happened a few days before our trip, so we decided to have the chip fixed upon our return. We turned the keys over to the dealership for the maintenance and an hour later, they returned it to us with the long crack across the windshield. You tell me, what about an oil choice would precipitate a crack in our windshield???","['bought', 'car', '21417', 'use', '3400', 'mile', 'time', 'may', 'due', 'first', '5000', 'mile', 'mainten', 'appt', 'road', 'stop', 'chuck', 'hutton', 'toyota', 'memphi', 'tn', 'work', 'done', 'chip', 'windshield', 'happen', 'day', 'trip', 'decid', 'chip', 'fix', 'upon', 'return', 'turn', 'key', 'dealership', 'mainten', 'hour', 'later', 'return', 'us', 'long', 'crack', 'across', 'windshield', 'tell', 'oil', 'choic', 'would', 'precipit', 'crack', 'windshield']"
Dec 20,2018,Prius 3 Touring 1.8L,Windshield Cracks Easily,"49,500 miles",Easily cracking windshields from Toyota are not something I expected from this manufacturer. Very disappointed after reading the class action lawsuit that currently in litigation. Toyota should own up to this!,"['easili', 'crack', 'windshield', 'toyota', 'someth', 'expect', 'manufactur', 'disappoint', 'read', 'class', 'action', 'lawsuit', 'current', 'litig', 'toyota']"
Jan 18,2017,Prius,Windshield Cracks Easily,"1,553 miles",Windshield cracked.....apparently there was a stone chip at the bottom left corner.. The annoying part is that I would have never noticed said stone chip. It was so small and in the bottom corner.. I had to pay to get this fixed.,"['windshield', 'crackedappar', 'stone', 'chip', 'bottom', 'left', 'corner', 'annoy', 'part', 'would', 'never', 'notic', 'said', 'stone', 'chip', 'small', 'bottom', 'corner', 'pay', 'get', 'fix']"
Apr 06,2017,Prius,Windshield Cracks Easily,"6,214 miles","Windshield cracked for the second time! It was literally like 3 months after it had cracked the first time and I had had it replaced. Again, Toyota said it was a stone chip that caused my windshield to crack. It was located at the very top of my windshield. I personally was unable to see this stone chip but the lady told me the test they do i that they run a pen down the crack and if the pen catches, then it is a stone chip. Again, I had to pay to have this replaced. Very annoying...","['windshield', 'crack', 'second', 'time', 'liter', 'like', '3', 'month', 'crack', 'first', 'time', 'replac', 'toyota', 'said', 'stone', 'chip', 'caus', 'windshield', 'crack', 'locat', 'top', 'windshield', 'person', 'unabl', 'see', 'stone', 'chip', 'ladi', 'told', 'test', 'run', 'pen', 'crack', 'pen', 'catch', 'stone', 'chip', 'pay', 'replac', 'annoy']"
Nov 04,2018,Prius,Windshield Cracks Easily,"31,000 miles","This is the third time my windshield has cracked and I have only had the car for a little over 2 years!! Again, Toyota says a stone chip was the cause for my windshield cracking. The really annoying part is that the guy tells us that because the stone chip is at the bottom of my windshield, they would not have been able to fill it in because my dashboard is in the way. So yet again, I am being told that I have to pay for a problem that keeps happening and there is nothing I can do to prevent it! Right now, I have not repaired the windshield.....what is the point? It's probably just going to crack again..","['third', 'time', 'windshield', 'crack', 'car', 'littl', '2', 'year', 'toyota', 'say', 'stone', 'chip', 'caus', 'windshield', 'crack', 'realli', 'annoy', 'part', 'guy', 'tell', 'us', 'stone', 'chip', 'bottom', 'windshield', 'would', 'abl', 'fill', 'dashboard', 'way', 'yet', 'told', 'pay', 'problem', 'keep', 'happen', 'noth', 'prevent', 'right', 'repair', 'windshieldwhat', 'point', 'probabl', 'go', 'crack']"
Oct 01,2018,Prius 1.5L,Windshield Cracks Easily,"65,000 miles","I'm a big lover of Toyota. This is my 3rd Toyota Prius. Never had any problems with any of them. I bought this one used, drove about 5k and then a very tiny pebble hit it to start crack about half inch. After that, about 2 inches per day, getting worse. Toyota should recall the part. Thank you.","['im', 'big', 'lover', 'toyota', '3rd', 'toyota', 'priu', 'never', 'problem', 'bought', 'one', 'use', 'drove', '5k', 'tini', 'pebbl', 'hit', 'start', 'crack', 'half', 'inch', '2', 'inch', 'per', 'day', 'get', 'wors', 'toyota', 'recal', 'part', 'thank']"
Jan 11,2018,Prius Touring,Windshield Cracks Easily,"27,680 miles","Small pebble hit the windshield while driving and again, it created a small round chip along with a crack that's deep between the exterior and interior windshield glass. I've had five or six other vehicles that experienced windshield chips w/ cracks in the exterior surface of the glass but this is the first time I've seen cracks that started from a small round chip & caused cracks BETWEEN the windshield glass layers. Once is a fluke, an odd angle hitting at the wrong time maybe. The same phenomena twice makes me think this is a poor design flaw in the property of the windshield glass. I'm not certain cracks between the glass can be fixed and I can't afford to replace the windshield.","['small', 'pebbl', 'hit', 'windshield', 'drive', 'creat', 'small', 'round', 'chip', 'along', 'crack', 'that', 'deep', 'exterior', 'interior', 'windshield', 'glass', 'ive', 'five', 'six', 'vehicl', 'experienc', 'windshield', 'chip', 'w', 'crack', 'exterior', 'surfac', 'glass', 'first', 'time', 'ive', 'seen', 'crack', 'start', 'small', 'round', 'chip', 'caus', 'crack', 'windshield', 'glass', 'layer', 'fluke', 'odd', 'angl', 'hit', 'wrong', 'time', 'mayb', 'phenomena', 'twice', 'make', 'think', 'poor', 'design', 'flaw', 'properti', 'windshield', 'glass', 'im', 'certain', 'crack', 'glass', 'fix', 'cant', 'afford', 'replac', 'windshield']"
Sep 24,2017,Prius,Windshield Cracks Easily,"34,800 miles","I have owned many Toyota cars and actually previously owned a 2005 Prius. I bought the 2016 Prius in January of 2016. The car was sitting in my driveway and Monday morning, there was the first crack that started from the base of the windshield then began to spread at 90 degrees 1/4 of the way up the windshield. While trying to find someone who had a replacement for this car (supposedly on backorder and not available), a second crack started to the right of the first and also has made a 90 degree turn. The dealership states there are no recalls or issues. It is around $400 to replace the windshield, but then was told it was also cost $$$$ to have the side and rear camera functionality recalibrated. My insurance has a $500 deductible and therefore all of this will be out of pocket. I have never ever had this happen to any cars I've ever owned, especially when it is just sitting in a driveway. The dealership mentioned weather changes and or possibly something falling from a tree, but if this is the case, it seems like a super sensitive windshield that would not be very safe should I ever become involved in a crash. I would really love to hear from Toyota or have them replace this to inspect for any possible defects.","['own', 'mani', 'toyota', 'car', 'actual', 'previous', 'own', '2005', 'priu', 'bought', '2016', 'priu', 'januari', '2016', 'car', 'sit', 'driveway', 'monday', 'morn', 'first', 'crack', 'start', 'base', 'windshield', 'began', 'spread', '90', 'degre', '14', 'way', 'windshield', 'tri', 'find', 'someon', 'replac', 'car', 'supposedli', 'backord', 'avail', 'second', 'crack', 'start', 'right', 'first', 'also', 'made', '90', 'degre', 'turn', 'dealership', 'state', 'recal', 'issu', 'around', '400', 'replac', 'windshield', 'told', 'also', 'cost', 'side', 'rear', 'camera', 'function', 'recalibr', 'insur', '500', 'deduct', 'therefor', 'pocket', 'never', 'ever', 'happen', 'car', 'ive', 'ever', 'own', 'especi', 'sit', 'driveway', 'dealership', 'mention', 'weather', 'chang', 'possibl', 'someth', 'fall', 'tree', 'case', 'seem', 'like', 'super', 'sensit', 'windshield', 'would', 'safe', 'ever', 'becom', 'involv', 'crash', 'would', 'realli', 'love', 'hear', 'toyota', 'replac', 'inspect', 'possibl', 'defect']"
Jun 01,2017,Prius,Windshield Cracks Easily,"12,000 miles","A tiny pebble flipped up and hit the left edge of the windshield, starting a crack that slowly advanced rightward across the windshield. I was told there are no after-market windshields for this car and had to pay $900 to replace it. Seemed strange, but now less than three months later, it has happened again. I will be filing a second complaint about this next.","['tini', 'pebbl', 'flip', 'hit', 'left', 'edg', 'windshield', 'start', 'crack', 'slowli', 'advanc', 'rightward', 'across', 'windshield', 'told', 'aftermarket', 'windshield', 'car', 'pay', '900', 'replac', 'seem', 'strang', 'less', 'three', 'month', 'later', 'happen', 'file', 'second', 'complaint', 'next']"
Aug 24,2017,Prius,Windshield Cracks Easily,"17,000 miles","Without any known object striking it my two-month old windshield developed a crack, noted in the morning when I got in my car. I have not been driving on gravel roads.","['without', 'known', 'object', 'strike', 'twomonth', 'old', 'windshield', 'develop', 'crack', 'note', 'morn', 'got', 'car', 'drive', 'gravel', 'road']"
Jun 21,2017,Prius,Windshield Cracks Easily,"19,250 miles","I bought this car used, drove about 1K, and then a very tiny pebble hit it to start crack about half inch, but after that, about 2 inches per day getting worse. Toyota should recall the part. Thx","['bought', 'car', 'use', 'drove', '1k', 'tini', 'pebbl', 'hit', 'start', 'crack', 'half', 'inch', '2', 'inch', 'per', 'day', 'get', 'wors', 'toyota', 'recal', 'part', 'thx']"
Aug 08,2017,Prius,Windshield Cracks Easily,"6,000 miles","A small rock hit the windshield causing a crack not more than the size of a quarter. Thought we could get it filled in, but then overnight it spread into a long crack across the windshield. I believe the window is too thin and lightweight. Side window had a crack from a rock too. This is too much. Think a design flaw was made here.","['small', 'rock', 'hit', 'windshield', 'caus', 'crack', 'size', 'quarter', 'thought', 'could', 'get', 'fill', 'overnight', 'spread', 'long', 'crack', 'across', 'windshield', 'believ', 'window', 'thin', 'lightweight', 'side', 'window', 'crack', 'rock', 'much', 'think', 'design', 'flaw', 'made']"
Jun 12,2017,Prius 2 Hybrid,Windshield Cracks Easily,"9,400 miles","Our 2016 Prius 2 sedan windshield was struck by a small rock cast laterally across the freeway from several lanes to my right, as one would skip a stone across water, traveling about 55mph. unforeseeable, unavoidable act of chance, kicked up by another car's tire. Initial damage (see photo series) was two unsightly but repairable craters in the outer layer of glass. Within minutes / before an epoxy repair was possible, two cracks grew at an alarming rate. A smaller crack went vertically, and a fast and large crack ran horizontally. Within a day it spanned the entire driverâ€™s side. The crack reflects and refracts light into the driverâ€™s eyes, and is thick enough to obstruct vision even in dim light. Our primary travel is east in the morning and west at night, so the obstruction of vision is an active danger as we are typically oriented on the sun.","['2016', 'priu', '2', 'sedan', 'windshield', 'struck', 'small', 'rock', 'cast', 'later', 'across', 'freeway', 'sever', 'lane', 'right', 'one', 'would', 'skip', 'stone', 'across', 'water', 'travel', '55mph', 'unforese', 'unavoid', 'act', 'chanc', 'kick', 'anoth', 'car', 'tire', 'initi', 'damag', 'see', 'photo', 'seri', 'two', 'unsightli', 'repair', 'crater', 'outer', 'layer', 'glass', 'within', 'minut', 'epoxi', 'repair', 'possibl', 'two', 'crack', 'grew', 'alarm', 'rate', 'smaller', 'crack', 'went', 'vertic', 'fast', 'larg', 'crack', 'ran', 'horizont', 'within', 'day', 'span', 'entir', 'driverâ', 'side', 'crack', 'reflect', 'refract', 'light', 'driverâ', 'eye', 'thick', 'enough', 'obstruct', 'vision', 'even', 'dim', 'light', 'primari', 'travel', 'east', 'morn', 'west', 'night', 'obstruct', 'vision', 'activ', 'danger', 'typic', 'orient', 'sun']"
Aug 17,2016,Prius 4D HA Hybrid,Windshield Cracks Easily,"5,600 miles",Windshield cracked for the second time. Never heard the rock hit but found the point of impact the next day. Crack was horizontal across 2/3rds of my windshield.,"['windshield', 'crack', 'second', 'time', 'never', 'heard', 'rock', 'hit', 'found', 'point', 'impact', 'next', 'day', 'crack', 'horizont', 'across', '23rd', 'windshield']"
Apr 28,2016,Prius 4D HA Hybrid,Windshield Cracks Easily,"1,250 miles","A Small pebble hit my windsheild, you could barely hear it hit and cracked it. Safelight fixed it.","['small', 'pebbl', 'hit', 'windsheild', 'could', 'bare', 'hear', 'hit', 'crack', 'safelight', 'fix']"
Jul 06,2017,Prius 4D HA Hybrid,Windshield Cracks Easily,"16,900 miles","My windshield cracked for the fourth time. Never heard the rock hit. I have to replace this glass now with 3 big cracks. I've been afraid to replace it. Glad I didn't after the second crack. I could have put 3 windshields in this car and it only has 16,900 miles. There is a real design flaw in the shape of the glass or toyota made the windshield too thin to save weight for the hybrid. These windshields cost $1300 to buy outright and nobody makes an aftermarket that I can locate.","['windshield', 'crack', 'fourth', 'time', 'never', 'heard', 'rock', 'hit', 'replac', 'glass', '3', 'big', 'crack', 'ive', 'afraid', 'replac', 'glad', 'didnt', 'second', 'crack', 'could', 'put', '3', 'windshield', 'car', '16900', 'mile', 'real', 'design', 'flaw', 'shape', 'glass', 'toyota', 'made', 'windshield', 'thin', 'save', 'weight', 'hybrid', 'windshield', 'cost', '1300', 'buy', 'outright', 'nobodi', 'make', 'aftermarket', 'locat']"
Jun 06,2017,Prius 4D HA Hybrid,Windshield Cracks Easily,"16,000 miles","Same windshield cracked for a third time. Heard the rock hit this time. I even saw it hit, just a small pebble. I was driving 55mph in the far right lane to avoid traffic.","['windshield', 'crack', 'third', 'time', 'heard', 'rock', 'hit', 'time', 'even', 'saw', 'hit', 'small', 'pebbl', 'drive', '55mph', 'far', 'right', 'lane', 'avoid', 'traffic']"
Aug 11,2016,Prius,Windshield Cracks Easily,"9,500 miles",My windshield is constantly getting hit with pebbles and now have three cracks in the windshield. I afraid to get it replaced because it would be a waste of money with it constantly being hit with pebbles. I don't know if it is a design fault or what is the problem? This is my first Prius and really like the car except for this.,"['windshield', 'constantli', 'get', 'hit', 'pebbl', 'three', 'crack', 'windshield', 'afraid', 'get', 'replac', 'would', 'wast', 'money', 'constantli', 'hit', 'pebbl', 'dont', 'know', 'design', 'fault', 'problem', 'first', 'priu', 'realli', 'like', 'car', 'except']"
Feb 22,2017,Passat GLS 1.8L,Oil Sludge Resulting In Engine Failure,"105,000 miles","My car was driving perfect, no problems at all. Then all of a suden my car starts making this weird noise, then its dead? My car was in great condition, cosmetically and mechanically. Beautiful car, my first vw and i love it. I just hate i only had it for a year befor it died, my friends have cars that are a piece of garbage but they outlasted my solid car. Then i looked online and found out why, i want justice! My car is beautiful, i just became a lifelong member of vw. I hope they stand behind their work!","['car', 'drive', 'perfect', 'problem', 'suden', 'car', 'start', 'make', 'weird', 'nois', 'dead', 'car', 'great', 'condit', 'cosmet', 'mechan', 'beauti', 'car', 'first', 'vw', 'love', 'hate', 'year', 'befor', 'die', 'friend', 'car', 'piec', 'garbag', 'outlast', 'solid', 'car', 'look', 'onlin', 'found', 'want', 'justic', 'car', 'beauti', 'becam', 'lifelong', 'member', 'vw', 'hope', 'stand', 'behind', 'work']"
Mar 20,2013,Passat,Oil Sludge Resulting In Engine Failure,"124,000 miles","I ONLY HAD THIS CAR FOR 3 MONTHS AND THE CAR SHUT DOWN ON ME, VERY DISAPPOINTED. MY SON BOUGHT THIS CAR FOR ME FOR MY BIRTHDAY! HE WANTED ME TO HAVE A SAFE VEHICLE TO DRIVE, ESPECIALLY IN THE WINTER. SO AS I WAS DRIVING FROM TOWN WHICH IS 20 MILES AWAY THE CAR ALL OF A SUDDEN SHUT DOWN ON ME. IT WAS COLD OUT AND VERY EMBARRASSING. I HAD TO CALL MY BROTHER AND HAVE HIM COME GET ME AND TOW THE CAR HOME. I HAD HALBINSAL IN ESCANABA, MI LOOK AT IT. THEY SAID IT NEEDS A NEW ENGINE,THE TIMING BELT BROKE AND IT WILL COST ABOUT $4000 TO FIX IT. I WAS DEVASTATED BECAUSE I DON'T HAVE THAT KIND OF MONEY TO FIX IT!!!!","['car', '3', 'month', 'car', 'shut', 'disappoint', 'son', 'bought', 'car', 'birthday', 'want', 'safe', 'vehicl', 'drive', 'especi', 'winter', 'drive', 'town', '20', 'mile', 'away', 'car', 'sudden', 'shut', 'cold', 'embarrass', 'call', 'brother', 'come', 'get', 'tow', 'car', 'home', 'halbins', 'escanaba', 'mi', 'look', 'said', 'need', 'new', 'engineth', 'time', 'belt', 'broke', 'cost', '4000', 'fix', 'devast', 'dont', 'kind', 'money', 'fix']"
Jan 01,2010,Passat 1.8L T,Oil Sludge Resulting In Engine Failure,"120,000 miles","O-rings leaking oil into cylinders.Thousands of dollars of repairs to fixCheck engine codes persistentCatalytic converter full of burnt oilO2 sensor trips check engine codes as a result of oil through exhaustThereby won't pass inspection without replacement of cat.converter and sensor, not a fix though.","['ore', 'leak', 'oil', 'cylindersthousand', 'dollar', 'repair', 'fixcheck', 'engin', 'code', 'persistentcatalyt', 'convert', 'full', 'burnt', 'oilo2', 'sensor', 'trip', 'check', 'engin', 'code', 'result', 'oil', 'exhausttherebi', 'wont', 'pass', 'inspect', 'without', 'replac', 'catconvert', 'sensor', 'fix', 'though']"
Dec 24,2012,Passat GLS 1.8L T,Oil Sludge Resulting In Engine Failure,"108,000 miles",I bought my 2002 passat in 2009. I have had Warranty until 2012. I always got a synthetic oil changes at factory recommended time/miles.,"['bought', '2002', 'passat', '2009', 'warranti', '2012', 'alway', 'got', 'synthet', 'oil', 'chang', 'factori', 'recommend', 'timemil']"
Aug 01,2012,Passat Highline 1.8t,Oil Sludge Resulting In Engine Failure,"104,390 miles","I had an oil service on the card just a few months before. No mention as to oil sludge in system, still they refused to fix the problem on their account. Engine shut down to safe mode and was not drivable when it stopped. They changed a few parts after flushing the entire oil system. Turbo seems to be okay from what they said. Car currently works as it should, although I'm currently unsure if the problem has been removed by changing oil type. All services have been done at the dealership.","['oil', 'servic', 'card', 'month', 'mention', 'oil', 'sludg', 'system', 'still', 'refus', 'fix', 'problem', 'account', 'engin', 'shut', 'safe', 'mode', 'drivabl', 'stop', 'chang', 'part', 'flush', 'entir', 'oil', 'system', 'turbo', 'seem', 'okay', 'said', 'car', 'current', 'work', 'although', 'im', 'current', 'unsur', 'problem', 'remov', 'chang', 'oil', 'type', 'servic', 'done', 'dealership']"
Jan 23,2013,Passat GL,Oil Sludge Resulting In Engine Failure,"105,000 miles","Engine light came on while driving. Took the car into a mechanic who thought it could be the oil pump. After researching, I came to learn it was oil sludge. On the way have CarMax look at it the engine shut down. Needless to say, my leverage was negatively impacted when it showed up to CarMax on a tow truck. They gave me $1,000 for it.","['engin', 'light', 'came', 'drive', 'took', 'car', 'mechan', 'thought', 'could', 'oil', 'pump', 'research', 'came', 'learn', 'oil', 'sludg', 'way', 'carmax', 'look', 'engin', 'shut', 'needless', 'say', 'leverag', 'neg', 'impact', 'show', 'carmax', 'tow', 'truck', 'gave', '1000']"
Jan 16,2012,Passat 3.2L,Oil Sludge Resulting In Engine Failure,"138,000 miles",I bought a VW Passat October 2010. After taking it home I ended up taking it back on that Monday for various problems. They took 90 days to fix my car. My complaint here is that the oil light came on and I took if to get an oil change. The mechanic told me that there was sludge in the engine and that he could not five me a receipt for the change. The motor is running loud and I understand that this my cause me to have to change the oil pump or motor. VW has had several complaints about this problem and they won't do anything about it. It appears to be a design problem.,"['bought', 'vw', 'passat', 'octob', '2010', 'take', 'home', 'end', 'take', 'back', 'monday', 'variou', 'problem', 'took', '90', 'day', 'fix', 'car', 'complaint', 'oil', 'light', 'came', 'took', 'get', 'oil', 'chang', 'mechan', 'told', 'sludg', 'engin', 'could', 'five', 'receipt', 'chang', 'motor', 'run', 'loud', 'understand', 'caus', 'chang', 'oil', 'pump', 'motor', 'vw', 'sever', 'complaint', 'problem', 'wont', 'anyth', 'appear', 'design', 'problem']"
Nov 16,2011,Passat 1.8L T,Oil Sludge Resulting In Engine Failure,"97,000 miles","I bought this 2002 model VW Passat 1.8T about a year and a half ago with 86,000 miles on it. Event though I had not heard about the sludge problem, I put in synthetic oil a couple of times (last change actually just a week prior to the damage). About a couple of weeks ago, the car started flashing the oil pressure warning at me, but only for a second or so, then returned to normal. Now the oil pressure light is on constantly, and it was diagnosed as having the sludge problem.","['bought', '2002', 'model', 'vw', 'passat', '18t', 'year', 'half', 'ago', '86000', 'mile', 'event', 'though', 'heard', 'sludg', 'problem', 'put', 'synthet', 'oil', 'coupl', 'time', 'last', 'chang', 'actual', 'week', 'prior', 'damag', 'coupl', 'week', 'ago', 'car', 'start', 'flash', 'oil', 'pressur', 'warn', 'second', 'return', 'normal', 'oil', 'pressur', 'light', 'constantli', 'diagnos', 'sludg', 'problem']"
Aug 14,2011,Passat GLS 1.8L Turbo,Oil Sludge Resulting In Engine Failure,"94,000 miles",It's 8/15/2011 - I bought a nice 2002 VW w/ 85000 miles on it. After 6 months I put 10k on it and decided to buy something w/ even better gas mileage so I just sold it to a nice young couple that just had a baby (and lived through a recent tornado). The next day the stop engine light came on and the engine seized. They towed it to the dealer and they are saying it's due to sludge and the engine needs to be replaced. It's going to cost $5k. (which they bought the car for $4500 so go figure). I'm up tonight trying to figure out what I'm going do... I hate that it happened and I'm probably just going to give them their money back. But the way I see it VW has a chance to create 2 very happy customers or 2 anti-VW customers. I've read about the lawsuit and if VW would cover at least 1/2 it would be nice.. I would cover the other half and he would still have a great car.. IF not they'll have 2 people that will never buy another VW again. Wish us luck.,"['8152011', 'bought', 'nice', '2002', 'vw', 'w', '85000', 'mile', '6', 'month', 'put', '10k', 'decid', 'buy', 'someth', 'w', 'even', 'better', 'ga', 'mileag', 'sold', 'nice', 'young', 'coupl', 'babi', 'live', 'recent', 'tornado', 'next', 'day', 'stop', 'engin', 'light', 'came', 'engin', 'seiz', 'tow', 'dealer', 'say', 'due', 'sludg', 'engin', 'need', 'replac', 'go', 'cost', '5k', 'bought', 'car', '4500', 'go', 'figur', 'im', 'tonight', 'tri', 'figur', 'im', 'go', 'hate', 'happen', 'im', 'probabl', 'go', 'give', 'money', 'back', 'way', 'see', 'vw', 'chanc', 'creat', '2', 'happi', 'custom', '2', 'antivw', 'custom', 'ive', 'read', 'lawsuit', 'vw', 'would', 'cover', 'least', '12', 'would', 'nice', 'would', 'cover', 'half', 'would', 'still', 'great', 'car', 'theyll', '2', 'peopl', 'never', 'buy', 'anoth', 'vw', 'wish', 'us', 'luck']"
