,pdate,pdate 2,marka,cheader,cheader 2,comments
52,Nov 01,2000,Silverado LS 5.3L V8,Knocking Noise From Engine,"45,000 miles","['called', 'talked', 'head', 'mechanic', 'dealership', 'knocking', 'noise', 'engine', 'completely', 'cool', 'started', 'knocking', 'sound', 'would', 'last', '10', '60', 'second', 'go', 'away', 'suggested', 'use', 'full', 'synthetic', 'oil', 'one', 'regular', 'oil', 'change', 'help', 'reduce', 'make', 'noise', 'go', 'away', 'took', 'advice', 'right', 'however', 'noticed', 'bought', 'truck', 'using', '5w30', 'oil', 'recommended', 'truck', 'manual', 'went', '10w30', 'also', 'helped', 'still', 'dont', 'think', 'right', 'though', 'many', 'people', 'problem', 'wish', 'way', 'contact', 'whoever', 'make', 'recall', 'matter', 'fix', 'problem', 'believe', 'soon', 'costly', 'repair', 'engine', 'corrected']"
53,Oct 10,2009,Silverado Z71 5.3L,Knocking Noise From Engine,"90,000 miles","['think', 'motor', 'replaced', 'gm', 'amount', 'complaint']"
54,Feb 13,2004,Silverado 5.3L,Knocking Noise From Engine,"36,000 miles","['bought', 'truck', '2004', '36000', 'mile', 'warranty', 'drove', 'vehicle', 'several', 'month', 'would', 'start', 'making', 'knocking', 'sound', 'every', 'moring', 'started', 'would', 'worse', 'cold', 'outside', 'took', 'dealership', 'bought', 'explained', 'truck', 'manager', 'said', 'normal', 'motor', 'built', 'loose', 'keep', 'locking', 'upi', 'complained', 'several', 'year', '102000', 'mile', 'truck', 'noise', 'getting', 'worse', 'think', 'manufacture', 'defect', 'general', 'motor', 'fix', 'replace', 'motorsif', 'get', 'worse', 'willi', 'trade', 'japenese', 'vehicle', 'never', 'go', 'back', 'gm', 'bad', 'american', 'made', 'vehicle', 'built', 'poorly', 'overseas', 'vehicle', 'lasting', 'forever', 'remember', 'bad', 'product', 'bad', 'name']"
55,Sep 01,2006,Silverado LS 5.3L V8,Knocking Noise From Engine,"130,000 miles","['known', 'issue', 'motor', 'sure', 'affect', 'lifespan', 'embarrassing', 'start', 'knocking', 'look', 'others', 'like', 'dont', 'take', 'care', 'vehicle']"
56,Feb 18,2009,Silverado 1500 Z71 5.3L,Knocking Noise From Engine,"276,510 miles","['excessive', 'knocking', 'low', 'oil', 'pressure', 'light', 'came', 'needed', 'buy', 'new', 'engine', 'suck', 'real', 'badly', 'nothing', 'could']"
57,Feb 26,2006,Silverado LS Z71 5.3L,Knocking Noise From Engine,"103,000 miles","['first', 'got', 'truck', 'feb', 'didnt', 'time', 'went', 'started', 'started', 'truck', 'present', 'day', '50000', 'mile', 'later', '103000', 'im', 'driving', 'cant', 'believe', 'chevy', 'put', 'engine', 'like', 'market', 'wont', 'bother', 'fixing', 'wander', 'going', 'broke', 'anybody', 'suggestion', 'fix', 'please', 'let', 'know']"
58,Aug 01,2007,Monte Carlo LS 3.4L,Intake Gasket Failure,"60,000 miles","['needless', 'say', 'replace', 'gasket', 'twice', 'gm', 'finally', 'came', 'differant', 'gasket', 'fix', 'problem', 'problem', 'dexcool', 'antifreeze', 'eating', 'gasket', 'created', 'new', 'gasket', 'created', 'new', 'antifreeze', 'use', 'vehicle', 'class', 'action', 'lawsuit', 'gm', 'produce', 'reciepts', 'repair', 'low', 'behold', 'everyone', 'got', 'screwed', 'money', 'gm', 'went', 'bankrupt', 'also', 'happened', '97', 'grandam']"
59,Nov 20,2008,Monte Carlo SS 3.8L V6,Intake Gasket Failure,"52,096 miles","['well', 'appears', 'verdict', 'gm', 'chevrolet', 'serious', 'problem', 'monte', 'carlo', 'malibu', 'model', 'across', 'board', 'right', '50k', 'mile', 'intake', 'manifold', 'gasket', 'set', 'blow', 'guess', 'warranty', '3yrs36k', 'mile', 'wonder', 'longer', 'competitive', 'auto', 'industry', 'compared', '10yr100k', 'mile', 'warranty', '336', 'warranty', 'speaks', 'volume', 'reliability', 'car', 'lesson', 'learned']"
60,Feb 04,2008,Monte Carlo 3.4L,Intake Gasket Failure,"50,000 miles","['start', 'oil', 'gone', 'take', 'intake', 'gasket', 'shot', '3', 'month', 'later', 'air', 'compressor', 'shot', 'engine', 'still', 'leaking', 'oil', '3000', 'far', 'tried', 'trade', 'piece', 'c', 'credit', 'shot', 'hate', 'chevy', 'worst', 'never', '50000', 'mile', 'running', 'like', 'charm', 'lol', 'john', 'deer', '5', 'horse', 'piece', 'garbage']"
61,May 01,2008,Monte Carlo LS 3.4L,Intake Gasket Failure,"58,409 miles","['please', 'let', 'lesson', 'everyone', 'thinking', 'general', 'motor', 'fixed', 'problemsthey', 'havent', 'recently', 'intake', 'gasket', 'repaired', '2002', 'old', 'alerounder', 'warranty', 'told', '2003', 'monte', 'carlo', 'would', 'problem', 'fixed', 'forevernew', 'threaded', 'bolt', 'blahblahblah', 'guess', 'went', 'warranty', 'guess', 'againi', 'traded', 'thay', 'chevy', 'junk', 'back', 'never', 'never', 'never', 'buy', 'gm', 'bought', 'brand', 'new', '2008', 'honda', 'accord', 'hope', 'never', 'see', 'repair', 'guy', 'like', 'got', 'know', 'gm', 'dealership', 'get', 'rid', 'alero', 'gm', 'forever']"
62,Aug 14,2012,Stratus 2.7L,Oil Sludge Resulting In Engine Failure,"89,000 miles","['worst', 'car', 'ive', 'ever', 'owned', 'every', 'single', 'month', 'repairing', 'one', 'thing', 'another', 'year', 'half', 'owned', 'replaced', 'wheel', 'bearing', 'passenger', 'side', '3', 'time', '3', 'month', 'repairing', 'motor', 'problem', 'timing', 'chain', 'area', 'could', 'repaired', 'fix', 'replace', 'motor', 'getting', 'rid', 'car', 'best', 'thing', 'ive', 'ever', 'done']"
63,Dec 22,2010,Stratus LS 2.7L,Oil Sludge Resulting In Engine Failure,"99,879 miles","['would', 'see', 'many', 'dodge', 'stratus', 'car', 'everywhere', 'would', 'say', 'get', 'car', 'like', 'well', '2007', 'bought', '2003', 'v27', '2300', 'thought', 'wow', 'good', 'deal', 'considering', 'book', 'value', 'like', '5000', 'car', 'drove', 'well', 'thought', 'great', 'buy', 'used', 'car', 'work', 'job', 'like', '10', 'min', 'away', 'use', 'car', 'much', 'bought', '67000', 'mile', 'three', 'year', 'put', '30000', 'since', 'well', 'like', 'clock', 'work', 'soon', 'hit', '100000', 'mark', 'started', 'hear', 'noise', 'heater', 'stopped', 'working', 'took', 'shop', 'told', 'engine', 'coolant', 'mixed', 'oil', 'worth', 'money', 'since', 'going', 'need', 'new', 'engine']"
64,Oct 13,2009,Stratus ES 2.7L V6,Oil Sludge Resulting In Engine Failure,"65,000 miles","['say', 'join', 'law', 'suit', 'hear', 'there', 'class', 'action', 'work', 'would', 'like', 'manufacturer', 'pay', 'replace', 'engine', 'rant', 'really', 'dont', 'matter', 'make', 'situation', 'right']"
65,Jan 08,2010,Stratus RT 2.7L V6,Oil Sludge Resulting In Engine Failure,"150,000 miles","['rain', 'pours', 'laidoff', 'pregnant', 'wife', 'blown', 'motor', 'cant', 'afford', 'replace', 'really', 'liked', 'car', 'dirty', 'trick', 'dodge', 'took', 'good', 'care', 'car', 'would', 'lot', 'life', 'left']"
66,Nov 07,2008,Stratus SE 2.7L,Oil Sludge Resulting In Engine Failure,"142,000 miles","['heard', 'sludge', 'problem', 'corrected', 'car', 'built', '2002', 'found', 'hard', 'way', 'true', 'car', 'need', 'new', 'oil', 'pump', 'read', 'enough', 'complaint', 'understand', 'new', 'part', 'tip', 'iceberg', 'try', 'sell', 'car', 'soon', 'get', 'running', 'started', 'getting', 'warning', 'oil', 'light', 'went', 'car', '1200', 'rpm', 'checked', 'oil', 'level', 'fine', 'kept', 'driving', 'two', 'week', 'warning', 'light', 'stayed', 'non', 'stop', 'car', 'warmed', 'last', 'day', 'started', 'making', 'noised', 'hood', 'parked', 'able', 'take', 'timing', 'chain', 'water', 'pump', 'inspect', 'oil', 'pump', 'hoping', 'running', 'week', 'go', 'sale']"
67,Apr 09,2007,Stratus R/T 3.0 L V6,Oil Sludge Resulting In Engine Failure,"34,000 miles","['started', 'hearing', 'loud', 'knocking', 'noise', 'took', 'car', 'dealership', 'told', 'engine', 'sludge', 'case', 'told', 'caught', 'problem', 'nick', 'time', 'engine', 'head', 'cleaned', 'oil', 'replaced', 'soon', 'noise', 'started', 'took', 'car', 'back', 'hear', 'due', 'lack', 'maintenance', 'unable', 'receive', 'new', 'engine', 'warranty', 'even', 'though', 'replaced', 'oil', 'cleaned', 'engine', 'nick', 'time', 'said', 'got', 'engine', 'replaced', 'friend', 'small', 'mechanic', 'shop', 'north', 'model', 'engine', '33000', 'mile', 'engine', 'began', 'knock', 'told', 'ruined', 'getting', 'third', 'engine', 'hope', 'get', 'dealership', 'time', 'trade', 'start', 'knocking']"
68,Feb 12,2007,Stratus SE 2.7,Oil Sludge Resulting In Engine Failure,"99,425 miles","['second', 'dodge', 'first', 'used30000', 'mile', 'figured', 'problem', 'related', 'previous', 'owner', 'nope', 'bought', 'new', '2003', 'stratus', '27l', 'v6', 'october', '2002', 'every', 'oil', 'change', '3300', 'mile', 'documented', 'jiffylube', 'service', 'done', 'jack', 'caruso', 'regency', 'dodge', 'jacksonville', 'coolingsystem', 'replaced', '98848', 'mile', '1760', 'engine', 'headed', 'shop', 'afternoon', 'estimate', '99642', 'mile', 'proposed', 'estimate', 'arm', 'leg']"
69,Oct 30,2006,Stratus SE 2.7L V6,Oil Sludge Resulting In Engine Failure,"70,810 miles","['replace', '27l', 'v6', 'used', 'engine', '420000', 'warranty', 'use', 'rebuilt', 'engine', 'warranty', 'add', '620000', 'sound', 'like', 'credit', 'card', 'commercial', 'cost', 'estimate', 'dealership', 'gave', 'hell', 'car', 'worth', 'nice', 'car', 'ran', 'great', 'day', 'yesterday', 'oil', 'look', 'like', 'sludge', 'mechanic', 'say', 'pan', 'full', 'brass', 'say', 'worth', 'fixing', 'replace', 'used', 'engine']"
70,Mar 06,2006,Stratus 2.7L V6,Oil Sludge Resulting In Engine Failure,"45,000 miles","['love', '2003', 'dodge', 'stratus', 'rt', 'day', 'bought', 'car', 'shortly', '30000', 'mile', 'started', 'blowing', 'fuse', 'dame', 'car', 'would', 'start', 'dodge', 'dealership', 'help', 'said', 'leave', 'would', 'try', 'figure', 'problem', 'yea', 'right', 'didnt', 'well', 'piece', 'dodge', 'place', 'engine', 'sludge', 'told', 'nothing', 'wrong', '27', 'engine', 'husband', 'read', 'magazine', '27', 'engine', 'cause', 'engine', 'sludge', 'changed', 'engine', 'oil', 'every', '4000', 'mile', 'well', 'document', 'prove', 'engine', 'oil', 'changed', 'im', 'luck', 'yes', 'extended', 'coverage', 'dame', 'good', 'well', 'dame', 'car', 'get', 'fixed', 'promise', 'car', 'traded', 'month', 'husband', 'owns', '94', 'dodge', 'pickup', 'traded', 'asap']"
71,Feb 13,2005,Stratus 2.7L V6,Oil Sludge Resulting In Engine Failure,"49,000 miles","['purchased', '2003', 'stratus', 'july', '2003', 'approx', '4400', 'mile', 'extended', 'warranty', '7yr70000m', 'nov', '23', '2004', 'heard', 'knocking', 'noise', 'called', 'dealer', 'told', 'problem', 'told', 'bring', 'car', 'friday', 'closed', 'thursday', 'thanksgiving', 'asked', 'wanted', 'drive', 'car', 'knocking', 'noise', 'friday', 'said', 'yea', 'break', 'well', 'towed', 'next', 'day', 'noise', 'worse', 'drove', 'car', 'arrigo', 'dodge', 'barely', 'couldnt', 'drive', 'service', 'lane', 'bad', 'given', 'rental', 'make', 'long', 'story', 'short', '1', 'week', 'car', 'several', 'message', 'later', 'told', 'extended', 'warranty', 'honored', 'sludge', 'found', 'due', 'lack', 'maintenance', 'produced', 'reciepts', 'told', 'oil', 'tested', 'lab', 'almost', '2', 'week', 'later', 'several', 'phone', 'call', 'later', 'told', 'test', 'came', 'back', 'contaminated', 'due', 'lack', 'maintanece', 'car', 'presently', 'arrigo', 'dodge', 'since', '112404', 'still', 'owe', '20000', 'car', 'car', 'repossessed', 'cantt', 'afford', 'pay', 'something', 'good', 'fustrated', 'aggrivated', 'stressed', 'past', '3', 'month', 'one', 'worst', 'car', 'buying', 'experices', 'ever', 'encountered', 'never', 'purchased', 'anything', 'chrysler', 'chrysler', 'suck']"
72,Jan 21,2017,Grand Caravan Mainstreet 3.2L V6,"TIPM Faulty, Will Not Start, Hard To Start","98,251 miles","['van', 'lot', 'electrical', 'issue', 'started', 'door', 'trunk', 'opening', 'van', 'would', 'either', 'hard', 'start', 'start', 'next', 'day', 'couple', 'day', 'later', 'id', 'try', 'start', 'would', 'suddenly', 'start', 'occasionally', 'would', 'die', 'driving', 'able', 'get', 'temporary', 'fix', 'bypassing', 'fuel', 'pump', 'relay', 'finally', 'fixed', 'starting', 'problem', 'patch', 'permanent', 'fix', 'per', 'guy', 'sell', 'dodge', 'recalled', 'vehicle', 'grand', 'caravan', 'tipm', 'alternator', 'went', 'next', 'pcm', 'problem', 'started']"
73,Oct 07,2020,Grand Caravan Crew,"TIPM Faulty, Will Not Start, Hard To Start","80,000 miles","['van', 'started', 'glitch', 'windshield', 'wiper', 'dvd', 'system', 'head', 'light', 'going', 'start', 'want', 'started', 'research', 'everything', 'linked', 'module', 'steering', 'column', 'wiring', 'recalled', 'linked', 'module', 'ongoing', 'problem', 'year', 'vehicle', 'need', 'recall', 'fix']"
74,Oct 09,2019,Grand Caravan Crew 3.5L V6,"TIPM Faulty, Will Not Start, Hard To Start","114,000 miles","['disappointing', 'know', 'problem', 'wont', 'fix', 'hard', 'take', 'fixed', 'income']"
75,Dec 08,2018,Grand Caravan Crew 3.6L,"TIPM Faulty, Will Not Start, Hard To Start","74,565 miles","['tipms', '2011', 'grand', 'caravan', 'recall', 'replace', 'fair', 'consumer', 'know', 'problem', 'problem', 'addressed', 'soon', 'never', 'buy', 'chrysler', 'product']"
76,Dec 14,2018,Grand Caravan Mainstreet 3.6,"TIPM Faulty, Will Not Start, Hard To Start","123,764 miles","['first', 'last', 'dodge', 'vehicle', 'ever', 'tipm', 'went', 'first', 'didnt', 'want', 'start', 'van', 'would', 'crank', 'even', 'need', 'hold', 'key', 'start', 'turned', 'start', 'would', 'keep', 'cranking', 'would', 'start', 'shut', 'driving', 'unsafe', 'recall', 'seeing', 'complaint', 'replacement', 'tipm', 'around', '80000', 'plus', 'labor', 'dodge', 'want', 'replace', 'fuel', 'pump', 'first', 'consider', 'new', 'tipm', 'buy', 'replacement', 'tipm', 'pas', 'dodge', 'installing', 'chrysler', 'lucky', 'accident', 'van', 'would', 'sued', 'daylight', 'selling', 'vehicle', 'safe', 'hazard', 'chrysler', 'know', 'faulty', 'recall', 'worst', 'vehicle', 'ever', 'owned', 'spends', 'time', 'money', 'repaired', 'road']"
77,Dec 20,2018,Grand Caravan Mainstreet 3.6L V6,"TIPM Faulty, Will Not Start, Hard To Start","78,000 miles","['multiple', 'electrical', 'issue', '2011', 'grand', 'caravan', 'many', 'time', 'car', 'wont', 'start', 'even', 'turn', 'difficulty', 'starting', 'window', 'andor', 'door', 'randomly', 'opening', 'check', 'engine', 'light', 'etc', 'tipmrelated', 'issue', 'others', 'reported', 'dodge', 'need', 'recall', 'part', 'cause', 'lot', 'financial', 'problem', 'owner', 'pay', 'unnecessary', 'diagnostic', 'testing', 'part', 'replacement', 'nothing', 'fix']"
78,Oct 22,2018,Grand Caravan Crew 3.6L Vvt,"TIPM Faulty, Will Not Start, Hard To Start","207,000 miles","['sorry', 'lengthy', 'post', 'long', 'one', 'want', 'express', 'regret', 'buying', 'yet', 'another', 'dodge', 'know', 'brian', 'home', 'florida', 'drive', 'back', 'forth', 'lot', 'put', 'ton', 'mile', 'vehicle', 'youve', 'heard', 'tipm', 'chance', 'vehicle', 'fiatchrysler', 'fca', 'think', 'like', 'command', 'center', 'electrical', 'function', 'car', 'fcas', 'case', 'dysfunctional', 'one']"
79,Apr 01,2018,Grand Caravan Crew 3.4L,"TIPM Faulty, Will Not Start, Hard To Start","107,000 miles","['tipm', 'faulty', 'replaced', 'seems', 'like', 'recalled', 'little', 'actually', 'cost', 'bypass']"
80,Oct 14,2017,Grand Caravan LX,"TIPM Faulty, Will Not Start, Hard To Start","60,000 miles","['started', 'couple', 'month', 'ago', 'tried', 'start', 'car', 'would', 'crank', 'turnover', 'try', 'would', 'yesterday', 'morning', 'tried', 'start', 'would', 'crank', 'turn', 'went', 'online', 'sure', 'problem', 'tipm', 'fuel', 'relay', 'switch']"
81,Jun 15,2016,Grand Caravan Crew 3.6L,"TIPM Faulty, Will Not Start, Hard To Start","98,000 miles","['year', 'ago', 'intermittently', 'would', 'unlock', 'door', 'horn', 'would', 'start', 'going', 'pushing', 'button', 'fob', 'couple', 'minute', 'could', 'get', 'stop', 'pulled', 'fuse', 'could', 'find', 'anyone', 'idea', 'causing', 'six', 'month', 'ago', 'battery', 'started', 'going', 'dead', 'checked', 'alternator', 'fine', 'able', 'track', 'tipm', 'faulty', 'relay', 'shutting', 'fuel', 'pump', 'run', 'non', 'stop', 'must', 'pull', 'battery', 'cable', 'keep', 'battery', 'going', 'dead', 'horn', 'relay', 'fuel', 'pump', 'relay', 'stuck', 'replaced', 'separately', 'see', 'online', 'cost', '1200', '1500', 'repair', 'found', 'place', 'send', 'tipm', 'get', 'repaired', 'aprox', '300', 'without', 'till', 'come', 'back', 'buy', 'one', 'line', 'reprogramed', 'rig']"
82,Aug 11,2017,Grand Caravan Mainstreet,"TIPM Faulty, Will Not Start, Hard To Start","140,000 miles","['started', 'check', 'engine', 'light', 'engine', 'hitting', 'hard', 'putting', 'drive', 'reverse', 'door', 'opening', 'closing', 'put', 'vehicle', 'park', 'car', 'shutting', 'removed', 'key', 'car', 'starting', 'dying', 'randomly', 'finally', 'car', 'would', 'turn', 'tried', 'start', 'car']"
83,Jun 15,2015,Grand Caravan Crew 3.2L V6,"TIPM Faulty, Will Not Start, Hard To Start","45,000 miles","['van', 'started', 'problem', 'starting', 'stalling', 'left', 'u', 'stranded', 'several', 'time', 'wiper', 'go', 'whenever', 'chose', 'rear', 'backup', 'camera', 'stopped', 'working', 'interior', 'light', 'dash', 'light', 'flash', 'whenever', 'want', 'well', 'severe', 'starting', 'especially', 'since', 'still', 'owe', '8000', 'vehicle', 'found', 'temporary', 'solution', 'internet', 'search', 'saved', 'u', 'far', 'bandaid', 'anyone', 'interested', 'temporary', 'fix', 'please', 'email', 'certain', 'post', 'website', 'engineer', 'sell', 'fix', 'guarantee', 'bypass', 'used', 'bypass', 'since', 'july', '2015']"
84,Jun 01,2017,Grand Caravan 3.6L,"TIPM Faulty, Will Not Start, Hard To Start","89,102 miles","['recently', 'issue', 'van', 'stalling', 'driving', 'speed', 'range', 'really', 'concerning', 'time', '3', 'child', 'vehicle', 'used', 'family', 'vehicle', 'stall', 'lose', 'control', 'power', 'steering', 'brake', 'really', 'hazardous', 'freeway']"
85,Mar 01,2017,Grand Caravan,"TIPM Faulty, Will Not Start, Hard To Start","85,000 miles","['problem', 'offon', '2011', 'dodge', 'grand', 'caravan', 'cranking', 'starting', 'problem', 'getting', 'worse', 'worried', 'safety', 'vehicle', 'main', 'source', 'transportation', 'two', 'young', 'kid', 'want', 'put', 'thousand', 'issue', 'recalled', 'internet', 'issue', 'pending', 'lawsuit']"
86,Apr 12,2017,Grand Caravan 3.2L V6,"TIPM Faulty, Will Not Start, Hard To Start","113,000 miles","['2011', 'dodge', 'grand', 'caravan', 'battery', 'indicator', 'came', 'door', 'lock', 'locked', 'unlocks', 'transmission', 'go', 'gear', 'van', 'dy', 'put', 'new', 'battery', 'run', 'fine', 'battery', 'discharge', 'charge', 'run', 'finebattery', 'indicator', 'light', 'stay', 'still', 'told', 'tipm']"
87,Jan 23,2017,Grand Caravan 3.6L,"TIPM Faulty, Will Not Start, Hard To Start","113,228 miles","['issue', 'van', 'starting', 'first', 'thought', 'weather', 'started', 'around', 'christmas', 'started', 'issue', 'time', 'would', 'put', 'neutral', 'get', 'start', 'even', 'would', 'take', 'several', 'try', 'throughout', 'day', 'took', 'couple', 'place', 'looked', 'course', 'every', 'time', 'would', 'start', 'fine', 'finally', 'friend', 'looked', 'said', 'found', 'online', 'tipm', 'issue']"
88,Jan 14,2017,Grand Caravan Mainstreet 3.6L,"TIPM Faulty, Will Not Start, Hard To Start","99,156 miles",['fix']
89,Jul 10,2016,Grand Caravan Crew 3.6L,"TIPM Faulty, Will Not Start, Hard To Start","99,500 miles","['tipm', 'start', 'issue', 'occurred', '2011', 'dodge', 'grand', 'caravan', 'day', 'got', 'back', 'road', 'trip', 'thank', 'lord', 'researched', 'problem', 'found', 'temporary', 'bypass', 'solution', 'pretty', 'quick', 'performed', 'get', 'van', 'dealer', 'went', 'ahead', 'fix', 'problem', 'dealer', 'mechanic', 'knew', 'exactly', 'issue', 'performed', 'outboard', 'relay', 'option', 'fix', 'issue', 'wrote', 'letter', 'dodge', 'customer', 'service', 'explaining', 'issue', 'referencing', 'two', 'recall', 'grand', 'cherokee', 'durango', 'provided', 'receipt', 'requested', 'full', 'reimbursement', 'response', 'dodge', 'customer', 'service', 'basically', 'âœsorry', 'problem', 'however', 'youâre', 'warranty', 'recall', 'issue', 'specific', 'vehicleâ', 'next', 'step', 'submit', 'followup', 'letter', 'cc', 'better', 'business', 'bureau']"
90,Oct 14,2016,Grand Caravan 3.2L,"TIPM Faulty, Will Not Start, Hard To Start","80,512 miles","['dodge', 'aware', 'failure', 'tipm', 'part', 'add', 'lawsuit']"
91,Jun 01,2016,Grand Caravan,"TIPM Faulty, Will Not Start, Hard To Start","80,000 miles","['start', 'problem', 'made', 'click', 'sound', 'like', 'dead', 'battery', 'life', 'window', 'radio', 'door', 'lock', 'wiper', 'etc', 'would', 'click', 'researched', 'saw', 'people', 'trick', 'get', 'turned', 'turn', '1st', 'position', 'three', 'time', 'allowing', 'light', 'dash', 'come', 'fourth', 'time', 'turn', 'car', 'worked', 'month', 'one', 'day', 'longer', 'worked']"
92,Aug 23,2024,Town & Country Limited 3.2L V6,TIPM Failure. Would Not Start,"180,000 miles","['replaced', 'alternator', 'battery', 'drained', 'new', 'battery', 'battery', 'charged', 'drove', 'car', 'church', 'lightening', 'bolt', 'remained', 'dash', 'light', 'going', 'haywire', 'cm', 'church', 'later', 'car', 'would', 'start', 'called', 'son', 'jump', 'start', 'car', 'car', 'ran', '5', 'min', 'quit', 'would', 'start', 'even', 'jump', 'starting', 'next', 'day', 'flat', 'bed', 'mechanic', 'mechanic', 'said', 'alternator', 'update', 'sep', '25', '2024', 'dad', 'looked', 'online', 'saw', 'way', 'could', 'reset', 'tipm', 'tried', 'vehicle', 'worked', 'used', 'vehicle', '5', 'day', 'problem', 'yesterday', 'vehicle', 'would', 'start', 'sunday', 'husband', 'used', 'lift', 'gate', 'also', 'took', 'granddaughter', 'church', 'buckled', 'back', 'seat', 'unsure', 'one', 'caused', 'battery', 'draw', 'done', 'vehicle', 'worked', 'monday', 'morning', 'drove', '10', 'minute', 'day', 'set', 'rest', 'day', 'know', 'take', 'awhile', 'battery', 'drain', 'believe', 'start', 'yesterday', 'son', 'said', 'undo', 'negative', 'cable', 'every', 'night', 'reconnect', 'morning', 'believe', 'filed', 'several', 'complaint', 'chrysler', 'avail', 'see', 'lawsuit', 'filed', 'issue', 'people', 'notified', 'second', 'town', 'country', 'owned', 'first', 'one', 'never', 'problem', 'bought', 'another', 'one', 'believe', 'purchase', 'another', 'one', 'headache', 'one', 'past', 'month', 'alone', 'spent', '250000', 'vehicle', 'interest', 'high', 'would', 'found', 'different', 'vehicle', 'one', 'could', 'afford', 'payment']"
93,Feb 03,2024,Town & Country Touring 3.2L,TIPM Failure. Would Not Start,"157,000 miles","['issue', 'van', 'wanting', 'start', 'fuel', 'pump', 'continuing', 'run', 'even', 'though', 'van', 'would', 'turned', 'key', 'removed', 'vehicle', 'would', 'try', 'start', 'battery', 'would', 'dead', 'van', 'start', 'move', 'jump', 'nothing', 'worked', 'already', 'bypass', 'point', 'time', 'probably', 'year', 'ago', 'knew', 'tipm', 'contacted', 'chrysler', 'pretty', 'much', 'told', 'kick', 'rock', 'recall', 'every', 'vehicle', 'made', 'time', 'spend', 'except', 'town', 'country', 'stuck', 'van', 'extra', 'car', 'way', 'get', 'work', 'chrysler', 'could', 'careless', 'sold', 'vehicle', 'going', 'last', 'chrysler', 'told', 'car', 'old', 'upon', 'research', 'time', 'company', 'denies', 'service', 'recall', 'car', '15', 'yr', 'older', 'well', 'mine', 'yet', 'company', 'doesnt', 'care']"
94,Jan 01,2023,Town & Country,TIPM Failure. Would Not Start,"150,000 miles","['car', 'wont', 'start', 'turn', 'key', '12', 'second', 'starter', 'engagement', 'nothing', 'start', 'battery', 'strong', 'new', 'oversized', 'due', 'chat', 'room', 'advice', 'car', 'still', 'intermittently', 'start', 'tipm', 'relay', 'faulty', 'dealer', 'repair', 'shop', 'want', '800', '1200', 'replace', 'reprogram', 'tipm']"
95,Mar 15,2019,Town & Country LX 3.6L,TIPM Failure. Would Not Start,"113,000 miles","['whole', 'fuse', 'box', 'garbage', '4', 'year', 'ago', 'paid', '500', 'dollar', 'bypass', 'fuel', 'pump', 'relay', 'dash', 'illuminates', 'like', 'christmas', 'tree', 'window', 'roll', 'door', 'open', 'road', 'show', 'battery', 'dying', 'wiper', 'go', 'well', 'dash', 'light', 'radio', 'go', 'stop', 'mall', 'lock', 'car', 'came', 'wide', 'open', 'window', 'mess', 'like', 'first', 'fuel', 'pump', 'recall', 'open', 'part', 'jeep', 'year', 'chrysler', 'getting', 'worse', 'little', 'little']"
96,Dec 18,2019,Town & Country Touring 3.6L V6 Pentastar,TIPM Failure. Would Not Start,"114,000 miles","['wife', 'parked', 'car', 'garage', 'noticed', 'electrical', 'whirring', 'sound', 'coming', 'rear', 'car', 'turned', 'dead', 'morning', 'able', 'jump', 'start', 'drive', 'around', 'even', 'restored', 'battery', 'would', 'start', 'without', 'jumper', 'cable', 'help', 'starter', 'fluid', 'mechanic', 'diagnosed', 'bad', 'tipm', 'replaced', 'part', 'cost', '1200', 'dealership', 'plus', 'diagnostics', 'probably', 'one', 'hour', 'installation', 'time', 'total', 'almost', '1500']"
97,Sep 21,2020,Town & Country,TIPM Failure. Would Not Start,"116,620 miles","['tipm', 'replaced', 'suburban', 'chrysler', 'dodge', 'jeep', 'ram', 'garden', 'city', 'michigan', 'first', 'brought', '2011', 'town', 'country', 'normal', 'place', 'take', 'car', 'replaced', 'cam', 'sensor', '180', 'wasnât', 'problem', 'told', 'u', 'take', 'dealership', 'van', 'would', 'turn', 'turn', 'wouldnât', 'start', 'iâve', 'heard', 'recall', 'tipm', 'dodge', 'durangoâs', 'jeep', 'cherokee', 'question', 'isnât', 'recall', '2011', 'town', 'country', 'many', 'people', 'issue', 'believe', 'recall', 'part', 'chrysler', 'right', 'thing', 'call', 'recall', 'tipm', 'cause', 'damage', 'death', 'know', 'itâs', 'problem', 'right', 'thing', 'fix', 'tipm', 'problem']"
98,Jun 08,2021,Town & Country Touring 3.6L 6cy,TIPM Failure. Would Not Start,"118,000 miles","['car', 'stalled', 'died', 'stoplight', 'yesterdayit', 'constantly', 'door', 'opening', 'closing', 'alarm', 'going', 'hour', 'night', 'never', 'want', 'start', 'sputter', 'sputter', 'weve', 'issue', 'since', 'got', '4', 'year', 'ago']"
99,Jan 26,2021,Town & Country Touring 3.6L V6,TIPM Failure. Would Not Start,"137,414 miles","['failure', 'tipm', 'inner', 'relay', 'fuel', 'pump', 'work', 'intermittently', 'car', 'start', 'failure', 'tipm', 'also', 'resulted', 'damage', 'fuel', 'pump', 'rendered', 'broken']"
100,Dec 29,2020,Town & Country Touring-L 3.2L V6,TIPM Failure. Would Not Start,"99,891 miles","['hello', 'minivan', 'team', 'second', 'time', 'happened', 'first', '82617', 'spend', 'crazy', 'amount', 'money', 'replace', 'alternator', 'came', 'back', 'road', '122920', 'issue', 'crazy', 'amount', 'money', '170751', 'right']"
